,index,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,player_id
0,6118,6118,Kurt Thomas,MIL,37.0,205.74,104.32616,Texas Christian,USA,1995,1,10,70,3.0,4.2,0.7,-5.2,0.084,0.237,0.114,0.489,0.069,2009-10,1
1,483,483,Muggsy Bogues,GSW,33.0,160.02,63.956472,Wake Forest,USA,1987,1,12,61,5.7,2.2,5.4,-8.4,0.02,0.07400000000000001,0.129,0.4920000000000001,0.344,1997-98,2
2,10434,10434,Victor Oladipo,IND,27.0,193.04,95.25431999999999,Indiana,USA,2013,1,2,36,18.8,5.6,5.2,5.6,0.018000000000000002,0.154,0.278,0.519,0.25,2018-19,3
3,6983,6983,Lance Stephenson,IND,21.0,195.58,99.79024,Cincinnati,USA,2010,2,40,42,2.5,1.3,1.1,-4.2,0.03,0.115,0.171,0.4,0.174,2011-12,4
4,5632,5632,Robert Swift,OKC,23.0,215.9,122.46984,None,USA,2004,1,12,26,3.3,3.4,0.3,-7.8,0.069,0.221,0.112,0.551,0.037000000000000005,2008-09,5
5,398,398,Moochie Norris,VAN,23.0,187.96,85.275296,West Florida,USA,1996,2,33,8,1.5,1.5,2.9,-30.5,0.038,0.105,0.149,0.248,0.418,1996-97,6
6,5257,5257,Willie Green,PHI,26.0,190.5,91.171992,Detroit Mercy,USA,2003,2,41,74,12.4,2.5,2.0,-1.2,0.019,0.091,0.238,0.4920000000000001,0.124,2007-08,7
7,9502,9502,DeMar DeRozan,TOR,27.0,200.66,99.79024,Southern California,USA,2009,1,9,74,27.3,5.2,3.9,3.3,0.03,0.134,0.342,0.552,0.204,2016-17,8
8,4084,4084,Pat Burke,PHX,32.0,210.82,113.398,Auburn,Ireland,Undrafted,Undrafted,Undrafted,42,3.4,1.7,0.4,-4.9,0.067,0.147,0.213,0.517,0.071,2005-06,9
9,8185,8185,Aron Baynes,SAS,28.0,208.28,117.93392,Washington State,Australia,Undrafted,Undrafted,Undrafted,70,6.6,4.5,0.5,6.8,0.114,0.206,0.17600000000000002,0.618,0.049,2014-15,10
10,1041,1041,Tariq Abdul-Wahad,SAC,24.0,198.12,101.151016,San Jose State,France,1997,1,11,49,9.3,3.8,1.0,-2.7,0.062,0.098,0.188,0.486,0.062,1998-99,11
11,8951,8951,Austin Rivers,LAC,23.0,193.04,90.7184,Duke,USA,2012,1,10,67,8.9,1.9,1.5,-2.1,0.016,0.08,0.195,0.523,0.116,2015-16,12
12,7535,7535,Derrick Williams,MIN,22.0,203.2,109.31567199999999,Arizona,USA,2011,1,2,78,12.0,5.5,0.6,-5.3,0.056,0.205,0.237,0.515,0.044,2012-13,13
13,4119,4119,Zarko Cabarkapa,GSW,25.0,210.82,104.32616,None,Serbia and Montenegro,2003,1,17,61,3.3,1.8,0.3,-11.5,0.081,0.187,0.222,0.472,0.069,2005-06,14
14,9351,9351,Randy Foye,BKN,33.0,193.04,98.883056,Villanova,USA,2006,1,7,69,5.2,2.2,2.0,-7.0,0.006999999999999999,0.124,0.145,0.506,0.153,2016-17,15
15,5266,5266,Tyrus Thomas,CHI,21.0,203.2,97.52228,Louisiana State,USA,2006,1,4,74,6.8,4.6,1.2,-1.3,0.086,0.212,0.198,0.486,0.11,2007-08,16
16,251,251,Randy Brown,CHI,29.0,187.96,86.18248,New Mexico State,USA,1991,2,31,72,4.7,1.5,1.8,10.4,0.037000000000000005,0.079,0.17800000000000002,0.461,0.17800000000000002,1996-97,17
17,9542,9542,Isaiah Thomas,BOS,28.0,175.26,83.91452,Washington,USA,2011,2,60,76,28.9,2.7,5.9,5.0,0.019,0.07,0.337,0.625,0.305,2016-17,18
18,8364,8364,Hedo Turkoglu,LAC,36.0,208.28,99.79024,None,Turkey,2000,1,16,62,3.7,1.6,0.6,0.1,0.008,0.152,0.146,0.602,0.08,2014-15,19
19,7983,7983,Kyle Korver,ATL,33.0,200.66,96.161504,Creighton,USA,2003,2,51,71,12.0,4.0,2.9,2.9,0.011,0.124,0.141,0.653,0.127,2013-14,20
20,9630,9630,Brandon Jennings,MIL,28.0,185.42,77.11064,None,USA,2009,1,10,14,5.2,2.2,3.1,-13.1,0.022,0.131,0.191,0.478,0.331,2017-18,21
21,9738,9738,Dirk Nowitzki,DAL,40.0,213.36,111.13004,None,Germany,1998,1,9,77,12.0,5.7,1.6,-2.0,0.012,0.227,0.199,0.575,0.098,2017-18,22
22,6343,6343,Francisco Garcia,SAC,29.0,200.66,88.45044,Louisville,Dominican Republic,2005,1,23,58,9.7,2.3,1.2,-5.6,0.019,0.093,0.172,0.551,0.079,2010-11,23
23,1747,1747,Michael Hawkins,CHH,27.0,182.88,80.73937600000002,Xavier,USA,Undrafted,Undrafted,Undrafted,12,0.7,0.6,1.1,9.6,0.0,0.159,0.16899999999999998,0.28800000000000003,0.394,1999-00,24
24,6825,6825,Raymond Felton,POR,28.0,185.42,92.98636,North Carolina,USA,2005,1,5,60,11.4,2.5,6.5,4.1,0.016,0.076,0.21,0.491,0.32,2011-12,25
25,4894,4894,Drew Gooden,CHI,26.0,208.28,113.398,Kansas,USA,2002,1,4,69,12.0,8.6,1.2,-2.2,0.092,0.23,0.203,0.495,0.062,2007-08,26
26,7265,7265,Randy Foye,UTA,29.0,193.04,96.615096,Villanova,USA,2006,1,7,82,10.8,1.5,2.0,-2.8,0.009000000000000001,0.058,0.185,0.55,0.116,2012-13,27
27,4269,4269,Alvin Williams,TOR,31.0,195.58,88.45044,Villanova,USA,1997,2,47,1,1.0,3.0,0.0,-24.3,0.0,0.333,0.16899999999999998,0.129,0.0,2005-06,28
28,7924,7924,Doron Lamb,ORL,22.0,193.04,90.7184,Kentucky,USA,2012,2,42,53,3.6,0.9,0.8,-0.6,0.013,0.069,0.134,0.5429999999999999,0.093,2013-14,29
29,3316,3316,David West,NOH,23.0,205.74,108.86208,Xavier,USA,2003,1,18,71,3.8,4.2,0.8,-5.1,0.135,0.242,0.151,0.519,0.12,2003-04,30
30,2211,2211,Michael Dickerson,MEM,27.0,195.58,86.18248,Arizona,USA,1998,1,14,4,10.8,3.0,2.3,-4.8,0.023,0.092,0.193,0.425,0.113,2001-02,31
31,9705,9705,Devin Booker,PHX,21.0,198.12,95.25431999999999,Kentucky,USA,2015,1,13,54,24.9,4.5,4.7,-9.3,0.013,0.112,0.301,0.561,0.233,2017-18,32
32,8362,8362,Harrison Barnes,GSW,23.0,203.2,102.0582,North Carolina,USA,2012,1,7,82,10.1,5.5,1.4,12.6,0.056,0.151,0.149,0.573,0.068,2014-15,33
33,6057,6057,Rodney Carney,PHI,26.0,200.66,92.98636,Memphis,USA,2006,1,16,68,4.7,2.0,0.5,-4.5,0.033,0.14800000000000002,0.17800000000000002,0.515,0.07,2009-10,34
34,4190,4190,Ryan Bowen,HOU,30.0,205.74,99.79024,Iowa,USA,1998,2,55,68,1.3,1.3,0.4,-5.0,0.054000000000000006,0.101,0.106,0.338,0.062,2005-06,35
35,6138,6138,Luol Deng,CHI,25.0,205.74,99.79024,Duke,United Kingdom,2004,1,7,70,17.6,7.3,2.0,0.9,0.056,0.156,0.217,0.531,0.08800000000000001,2009-10,36
36,303,303,Stacey King,DAL,30.0,210.82,113.398,Oklahoma,USA,1989,1,6,11,2.2,2.5,0.1,-18.7,0.112,0.232,0.135,0.478,0.018000000000000002,1996-97,37
37,4439,4439,Erick Dampier,DAL,31.0,210.82,120.20188,Mississippi State,USA,1996,1,10,76,7.1,7.4,0.6,11.5,0.14400000000000002,0.212,0.129,0.642,0.034,2006-07,38
38,8894,8894,D.J. Augustin,DEN,28.0,182.88,83.007336,Texas,USA,2008,1,9,62,7.5,1.5,3.2,-1.4,0.008,0.081,0.183,0.575,0.257,2015-16,39
39,9148,9148,Tyler Zeller,BOS,27.0,213.36,114.758776,North Carolina,USA,2012,1,17,51,3.5,2.4,0.8,0.2,0.08800000000000001,0.16699999999999998,0.16399999999999998,0.508,0.125,2016-17,40
40,5662,5662,Patrick O'Bryant,TOR,23.0,213.36,113.398,Bradley,USA,2006,1,9,39,2.6,1.7,0.3,-0.8,0.057,0.217,0.196,0.544,0.07200000000000001,2008-09,41
41,3508,3508,Aaron McKie,PHI,32.0,195.58,94.800728,Temple,USA,1994,1,17,68,2.2,2.5,1.5,0.2,0.019,0.155,0.07,0.51,0.135,2004-05,42
42,218,218,Charlie Ward,NYK,26.0,187.96,86.18248,Florida State,USA,1994,1,26,79,5.2,2.8,4.1,4.0,0.031,0.116,0.14,0.522,0.282,1996-97,43
43,10493,10493,Kentavious Caldwell-Pope,LAL,26.0,195.58,92.98636,Georgia,USA,2013,1,8,82,11.4,2.9,1.3,-3.7,0.022,0.08800000000000001,0.175,0.568,0.077,2018-19,44
44,9992,9992,Jake Layman,POR,24.0,205.74,95.25431999999999,Maryland,USA,2016,2,47,35,1.0,0.5,0.3,-11.5,0.024,0.078,0.139,0.35200000000000004,0.099,2017-18,45
45,5730,5730,Shavlik Randolph,POR,25.0,208.28,108.86208,Duke,USA,Undrafted,Undrafted,Undrafted,10,1.8,1.8,0.0,-43.7,0.28600000000000003,0.364,0.241,0.61,0.0,2008-09,46
46,1213,1213,Glen Rice,LAL,32.0,203.2,99.79024,Michigan,USA,1989,1,4,27,17.5,3.7,2.6,4.2,0.011,0.108,0.224,0.542,0.118,1998-99,47
47,5144,5144,Morris Almond,UTA,23.0,198.12,102.0582,Rice,USA,2007,1,25,9,1.4,0.2,0.3,-18.3,0.0,0.069,0.22,0.368,0.13,2007-08,48
48,6096,6096,Stephen Jackson,CHA,32.0,203.2,97.52228,Butler Community College,USA,1997,2,42,81,20.6,5.0,3.7,1.4,0.031,0.121,0.275,0.518,0.17,2009-10,49
49,5680,5680,Trey Johnson,CLE,24.0,195.58,98.883056,Jackson State,USA,Undrafted,Undrafted,Undrafted,4,1.0,0.3,0.0,-33.6,0.0,0.111,0.253,0.29600000000000004,0.0,2008-09,50
50,3542,3542,Pape Sow,TOR,23.0,208.28,113.398,Cal State-Fullerton,Senegal,2004,2,47,27,2.3,2.1,0.1,0.3,0.084,0.193,0.146,0.444,0.012,2004-05,51
51,7356,7356,Jannero Pargo,CHA,33.0,185.42,83.91452,Arkansas,USA,Undrafted,Undrafted,Undrafted,32,6.5,1.1,2.1,-8.6,0.025,0.066,0.24,0.475,0.233,2012-13,52
52,2388,2388,Randy Livingston,SEA,27.0,193.04,94.800728,Louisiana State,USA,1996,2,42,13,3.2,1.9,2.0,14.3,0.06,0.105,0.159,0.348,0.205,2001-02,53
